setting,task_name,model_id,model,data,root_path,data_path,features,target,freq,seq_len,label_len,pred_len,seasonal_patterns,inverse,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,factor,distil,dropout,embed,activation,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,itr,train_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,gpu_type,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,seed,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,patch_len,mae,mse,rmse,mape,mspe,dtw
long_term_forecast_ETTh1_96_96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_96,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,96,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.41084126,0.39615813,0.6294109,8.502879,34895.02,Not calculated
long_term_forecast_ETTh1_96_192_DLinear_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_192,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,192,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4403814673423767,0.4450070559978485,0.667088508605957,8.508769989013672,30775.9375,Not calculated
long_term_forecast_ETTh1_96_336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_336,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,336,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4654038548469543,0.487410694360733,0.6981480717658997,8.431503295898438,30395.154296875,Not calculated
long_term_forecast_ETTh1_96_720_DLinear_ETTh1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_720,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,720,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.5104050636291504,0.5126377940177917,0.7159872651100159,8.72912311553955,30288.376953125,Not calculated
long_term_forecast_ETTh1_512_96_DLinear_ETTh1_ftM_sl512_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_96,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,96,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.3961700797080993,0.3670293688774109,0.6058294773101807,8.570648193359375,30962.671875,Not calculated
long_term_forecast_ETTh1_512_192_DLinear_ETTh1_ftM_sl512_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_192,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,192,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4204806089401245,0.4025081098079681,0.6344352960586548,8.526518821716309,28192.658203125,Not calculated
long_term_forecast_ETTh1_512_336_DLinear_ETTh1_ftM_sl512_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_336,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,336,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4424619078636169,0.4311186373233795,0.6565962433815002,8.753423690795898,28626.248046875,Not calculated
long_term_forecast_ETTh1_512_720_DLinear_ETTh1_ftM_sl512_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_720,DLinear,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,720,Monthly,False,2,4,5,6,7,7,7,512,8,2,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4932129383087158,0.4717811346054077,0.6868632435798645,9.78079891204834,33608.5078125,Not calculated
long_term_forecast_ETTh1_96_96_PatchTST_ETTh1_ftM_sl96_ll48_pl96_dm512_nh2_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_96,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,96,Monthly,False,2,4,5,6,7,7,7,512,2,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.3996137082576751,0.3792848587036133,0.6158610582351685,9.8216552734375,43420.98046875,Not calculated
long_term_forecast_ETTh1_96_192_PatchTST_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_192,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,192,Monthly,False,2,4,5,6,7,7,7,512,8,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4324564039707184,0.4273914396762848,0.653751790523529,9.837971687316896,39225.5625,Not calculated
